date,wind_speed_10m_ms,solar_radiation_mj_m2,hybrid_kwh_Atlas_single,hybrid_kwh_Atlas_total,hybrid_kwh_Vertigo_single,hybrid_kwh_Vertigo_total,hybrid_kwh_Helix_single,hybrid_kwh_Helix_total,hybrid_kwh_Flux_single,hybrid_kwh_Flux_total
2023-01-01,6.1631837,2.02,145.93584,583.74335,145.93584,437.8075,145.93584,437.8075,145.93584,437.8075
2023-01-02,5.133607,1.26,145.2075,580.83,145.2075,435.6225,145.2075,435.6225,145.2075,435.6225
2023-01-03,4.3669863,2.35,146.25209,585.00836,146.25209,438.75626,146.25209,438.75626,146.25209,438.75626
2023-01-04,8.265527,0.55,144.52708,578.10834,144.52708,433.58124,144.52708,433.58124,144.52708,433.58124
2023-01-05,5.240778,2.44,146.33833,585.35333,146.33833,439.015,146.33833,439.015,146.33833,439.015
2023-01-06,5.5263386,3.02,146.89417,587.57666,146.89417,440.6825,146.89417,440.6825,146.89417,440.6825
2023-01-07,5.4022593,3.97,147.80458,591.2183,147.80458,443.41376,147.80458,443.41376,147.80458,443.41376
2023-01-08,5.4922795,3.52,147.37334,589.49335,147.37334,442.12,147.37334,442.12,147.37334,442.12
2023-01-09,5.607546,2.5,146.39583,585.5833,146.39583,439.1875,146.39583,439.1875,146.39583,439.1875
2023-01-10,5.4057965,1.98,145.8975,583.59,145.8975,437.6925,145.8975,437.6925,145.8975,437.6925
2023-01-11,6.5739765,4.25,148.07292,592.2917,148.07292,444.21875,148.07292,444.21875,148.07292,444.21875
2023-01-12,8.557334,0.38,144.36417,577.45667,144.36417,433.0925,144.36417,433.0925,144.36417,433.0925
2023-01-13,7.1774025,3.12,146.99,587.96,146.99,440.97,146.99,440.97,146.99,440.97
2023-01-14,7.033008,0.54,144.5175,578.07,144.5175,433.5525,144.5175,433.5525,144.5175,433.5525
2023-01-15,7.2027016,4.4,148.21667,592.8667,148.21667,444.65002,148.21667,444.65002,148.21667,444.65002
2023-01-16,5.2977138,1.74,145.6675,582.67,145.6675,437.0025,145.6675,437.0025,145.6675,437.0025
2023-01-17,3.4045188,5.17,105.949234,423.79694,114.48515,343.45544,109.372894,328.11868,83.35243,250.05728
2023-01-18,3.5480378,5.39,119.478485,477.91394,129.14003,387.4201,123.35359,370.0608,93.90176,281.70526
2023-01-19,4.4216037,4.6,148.40834,593.63336,148.40834,445.225,148.40834,445.225,148.40834,445.225
2023-01-20,3.1769097,1.71,83.701454,334.80582,90.637245,271.91174,86.48331,259.44992,65.34052,196.02158
2023-01-21,3.2354414,3.96,90.477585,361.91034,97.80385,293.41153,93.41602,280.24805,71.083,213.249
2023-01-22,3.5322514,1.85,114.56692,458.26767,124.10009,372.30026,118.39054,355.17163,89.33008,267.99023
2023-01-23,2.7708366,2.64,56.975754,227.90302,61.577408,184.73222,58.821407,176.46422,44.793903,134.38171
2023-01-24,2.7437801,3.25,55.980915,223.92366,60.449074,181.34721,57.773026,173.31906,44.15245,132.45735
2023-01-25,1.405744,2.91,9.898429,39.593716,10.499328,31.497982,10.1394415,30.418325,8.307692,24.923073
2023-01-26,2.4581878,1.78,39.722702,158.89081,42.935818,128.80746,41.011444,123.03433,31.216711,93.65013
2023-01-27,4.037621,1.75,145.67708,582.7083,145.67708,437.03125,145.67708,437.03125,132.4487,397.34613
2023-01-28,1.9829987,3.33,23.148397,92.59359,24.835146,74.50545,23.824928,71.47479,18.683138,56.04941
2023-01-29,3.7450254,2.4,136.72978,546.9191,146.3,438.9,141.28683,423.8605,106.652084,319.95624
2023-01-30,6.278712,5.34,149.11751,596.47003,149.11751,447.3525,149.11751,447.3525,149.11751,447.3525
2023-01-31,5.3562846,1.82,145.74417,582.9767,145.74417,437.2325,145.74417,437.2325,145.74417,437.2325
2023-02-01,6.7964,3.79,147.63208,590.5283,147.63208,442.89627,147.63208,442.89627,147.63208,442.89627
2023-02-02,5.798521,1.81,145.73459,582.93835,145.73459,437.20377,145.73459,437.20377,145.73459,437.20377
2023-02-03,5.8739076,1.25,145.19792,580.7917,145.19792,435.59375,145.19792,435.59375,145.19792,435.59375
2023-02-04,1.8465348,3.22,19.199848,76.79939,20.561777,61.68533,19.746098,59.23829,15.594456,46.783367
2023-02-05,4.825852,5.15,148.93542,595.7417,148.93542,446.80627,148.93542,446.80627,148.93542,446.80627
2023-02-06,1.8215122,4.81,20.077345,80.30938,21.384657,64.15397,20.601692,61.805077,16.616547,49.84964
2023-02-07,1.9357725,7.9,26.135803,104.54321,27.704884,83.114655,26.765144,80.29544,21.982029,65.94609
2023-02-08,2.0892975,8.04,31.046682,124.18673,33.019478,99.05844,31.837942,95.513824,25.824152,77.47246
2023-02-09,2.8998432,6.87,68.99385,275.9754,74.26863,222.8059,71.109474,213.32841,55.030037,165.0901
2023-02-10,3.5668724,5.07,121.00196,484.00784,130.81824,392.4547,124.93913,374.81738,95.015755,285.04727
2023-02-11,3.6585014,2.28,127.51091,510.04364,138.10324,414.30972,131.75934,395.278,99.470146,298.4104
2023-02-12,1.2975073,2.99,8.456047,33.82419,8.928557,26.785671,8.645564,25.936691,7.205184,21.615551
2023-02-13,1.8189791,8.6,23.644997,94.57999,24.94686,74.840576,24.167152,72.50146,20.198612,60.595833
2023-02-14,1.9406539,8.9,27.23494,108.93976,28.815914,86.44774,27.869045,83.60713,23.04966,69.14898
2023-02-15,2.5041368,8.46,48.29634,193.18536,51.693027,155.07907,49.65869,148.97607,39.30437,117.91311
2023-02-16,4.030217,2.84,146.72166,586.88666,146.72166,440.165,146.72166,440.165,132.7752,398.32565
2023-02-17,6.55753,2.73,146.61626,586.465,146.61626,439.84875,146.61626,439.84875,146.61626,439.84875
2023-02-18,6.142612,2.04,145.955,583.82,145.955,437.865,145.955,437.865,145.955,437.865
2023-02-19,5.020908,2.54,146.43417,585.7367,146.43417,439.3025,146.43417,439.3025,146.43417,439.3025
2023-02-20,5.7132416,3.25,147.11458,588.4583,147.11458,441.34375,147.11458,441.34375,147.11458,441.34375
2023-02-21,2.885809,3.21,64.584564,258.33826,69.78315,209.34944,66.669655,200.00897,50.822533,152.4676
2023-02-22,2.3863537,5.66,40.20466,160.81863,43.144245,129.43272,41.38368,124.15104,32.422775,97.26833
2023-02-23,2.1559994,3.99,29.47315,117.8926,31.64099,94.922966,30.34264,91.027916,23.734285,71.20286
2023-02-24,3.6983864,2.21,131.58759,526.35034,142.53015,427.59045,135.97649,407.92944,102.61972,307.85916
2023-02-25,4.1799846,9.67,153.26709,613.06836,153.26709,459.80127,153.26709,459.80127,153.26709,459.80127
