date,wind_speed_10m_ms,wind_speed_Atlas,internal_wind_speed_Atlas,wind_speed_Vertigo,internal_wind_speed_Vertigo,wind_speed_Helix,internal_wind_speed_Helix,wind_speed_Flux,internal_wind_speed_Flux
2023-01-01,6.1631837,10.164543,15.755041,10.443198,16.186956,10.278126,15.931094,9.3416395,14.479541
2023-01-02,5.133607,8.466529,13.123119,8.698633,13.482881,8.561136,13.269761,7.781093,12.060694
2023-01-03,4.3669863,7.2021904,11.163395,7.399634,11.469432,7.28267,11.288138,6.6191134,10.259625
2023-01-04,8.265527,13.631803,21.129293,14.00551,21.70854,13.78413,21.3654,12.528195,19.418703
2023-01-05,5.240778,8.643279,13.397082,8.880229,13.764355,8.739862,13.546786,7.943534,12.312477
2023-01-06,5.5263386,9.114236,14.127065,9.364097,14.514349,9.216082,14.284926,8.376363,12.983362
2023-01-07,5.4022593,8.909599,13.809878,9.153851,14.188468,9.009159,13.964196,8.188293,12.6918545
2023-01-08,5.4922795,9.058064,14.039999,9.306385,14.424896,9.159283,14.196888,8.324739,12.903346
2023-01-09,5.607546,9.248166,14.334657,9.5016985,14.7276325,9.351508,14.494837,8.49945,13.174147
2023-01-10,5.4057965,8.915433,13.818921,9.159844,14.197759,9.015058,13.973339,8.193655,12.700165
2023-01-11,6.5739765,10.842038,16.805159,11.139265,17.26586,10.963191,16.992945,9.964285,15.444641
2023-01-12,8.557334,14.113062,21.875246,14.499963,22.474941,14.270766,22.119686,12.970492,20.104263
2023-01-13,7.1774025,11.83723,18.347706,12.161739,18.850695,11.969503,18.55273,10.878908,16.862307
2023-01-14,7.033008,11.599089,17.978586,11.91707,18.471458,11.728702,18.179487,10.660047,16.523071
2023-01-15,7.2027016,11.878954,18.412378,12.204608,18.917141,12.011693,18.618124,10.917254,16.921743
2023-01-16,5.2977138,8.73718,13.542628,8.976704,13.91389,8.834812,13.693958,8.029833,12.44624
2023-01-17,3.4045188,5.6148543,8.703024,5.768782,8.941612,5.677597,8.800275,5.1602855,7.998442
2023-01-18,3.5480378,5.851551,9.069904,6.0119677,9.318549,5.9169383,9.171254,5.3778195,8.33562
2023-01-19,4.4216037,7.2922673,11.303014,7.4921803,11.612879,7.3737535,11.429317,6.701898,10.387941
2023-01-20,3.1769097,5.2394733,8.121183,5.38311,8.343821,5.2980213,8.211933,4.8152947,7.4637065
2023-01-21,3.2354414,5.336006,8.270809,5.4822893,8.497548,5.3956323,8.36323,4.904012,7.6012187
2023-01-22,3.5322514,5.8255157,9.02955,5.9852185,9.277088,5.890612,9.130448,5.353892,8.2985325
2023-01-23,2.7708366,4.569763,7.0831327,4.69504,7.2773123,4.620827,7.162282,4.199803,6.509694
