now.Time,c,Transition,WaitA,WaitB,WaitC,DeskA,DeskB,DeskC,c.WaitTime,leave,Gone
0.00,c1,Arrive (Q_A),[c1],[],[],Free,Free,Free,,,
0.00,c1,start_desk_A,[],[],[],"(c1, End=1.9)",Free,Free,0.00,,
1.88,c1,leave,[],[],[],Free,Free,Free,,c1,
2.86,c2,Arrive (Q_C),[],[],[c2],Free,Free,Free,,,
2.86,c2,start_desk_C,[],[],[],Free,Free,"(c2, End=5.4)",0.00,,
3.62,c3,Arrive (Q_A),[c3],[],[],Free,Free,"(c2, End=5.4)",,,
3.62,c3,start_desk_A,[],[],[],"(c3, End=6.0)",Free,"(c2, End=5.4)",0.00,,
4.28,c4,Arrive (Q_B),[],[c4],[],"(c3, End=6.0)",Free,"(c2, End=5.4)",,,
4.28,c4,start_desk_B,[],[],[],"(c3, End=6.0)","(c4, End=10.0)","(c2, End=5.4)",0.00,,
5.35,c2,leave,[],[],[],"(c3, End=6.0)","(c4, End=10.0)",Free,,c2,
5.96,c3,leave,[],[],[],Free,"(c4, End=10.0)",Free,,c3,
7.97,c5,Arrive (Q_B),[],[c5],[],Free,"(c4, End=10.0)",Free,,,
10.03,c5,start_desk_B,[],[],[],Free,"(c5, End=13.1)",Free,2.06,,
10.03,c4,leave,[],[],[],Free,Free,Free,,c4,
10.44,c6,Arrive (Q_C),[],[],[c6],Free,Free,Free,,,
10.44,c6,start_desk_C,[],[],[],Free,Free,"(c6, End=13.7)",0.00,,
12.99,c7,Arrive (Q_B),[],[c7],[],Free,Free,"(c6, End=13.7)",,,
13.05,c7,start_desk_B,[],[],[],Free,"(c7, End=17.3)","(c6, End=13.7)",0.06,,
13.05,c5,leave,[],[],[],Free,Free,"(c6, End=13.7)",,c5,
13.67,c6,leave,[],[],[],Free,Free,Free,,c6,
14.84,c8,Arrive (Q_A),[c8],[],[],Free,Free,Free,,,
14.84,c8,start_desk_A,[],[],[],"(c8, End=19.0)",Free,Free,0.00,,
15.32,c9,Arrive (Q_A),[c9],[],[],"(c8, End=19.0)",Free,Free,,,
17.29,c7,leave,[c9],[],[],"(c8, End=19.0)",Free,Free,,c7,
18.96,c9,start_desk_A,[],[],[],"(c9, End=19.9)",Free,Free,3.64,,
18.96,c8,leave,[],[],[],Free,Free,Free,,c8,
19.26,c10,Arrive (Q_B),[],[c10],[],Free,Free,Free,,,
19.26,c10,start_desk_B,[],[],[],Free,"(c10, End=23.5)",Free,0.00,,
19.91,c9,leave,[],[],[],Free,"(c10, End=23.5)",Free,,c9,
20.74,c11,Arrive (Q_C),[],[],[c11],Free,"(c10, End=23.5)",Free,,,
20.74,c11,start_desk_C,[],[],[],Free,"(c10, End=23.5)","(c11, End=22.3)",0.00,,
20.83,c12,Arrive (Q_C),[],[],[c12],Free,"(c10, End=23.5)","(c11, End=22.3)",,,
21.26,c13,Arrive (Q_C),[],[],"[c12, c13]",Free,"(c10, End=23.5)","(c11, End=22.3)",,,
21.68,c14,Arrive (Q_C),[],[],"[c12, c13, c14]",Free,"(c10, End=23.5)","(c11, End=22.3)",,,
22.29,c12,start_desk_C,[],[],"[c13, c14]",Free,"(c10, End=23.5)","(c12, End=24.5)",1.47,,
22.29,c11,leave,[],[],"[c13, c14]",Free,"(c10, End=23.5)",Free,,c11,
22.46,c15,Arrive (Q_C),[],[],"[c13, c14, c15]",Free,"(c10, End=23.5)",Free,,,
23.54,c10,leave,[],[],"[c13, c14, c15]",Free,Free,Free,,c10,
24.48,c13,start_desk_C,[],[],"[c14, c15]",Free,Free,"(c13, End=28.3)",3.22,,
24.48,c12,leave,[],[],"[c14, c15]",Free,Free,Free,,c12,
25.71,c16,Arrive (Q_B),[],[c16],"[c14, c15]",Free,Free,Free,,,
25.71,c16,start_desk_B,[],[],"[c14, c15]",Free,"(c16, End=28.6)",Free,0.00,,
26.53,c17,Arrive (Q_A),[c17],[],"[c14, c15]",Free,"(c16, End=28.6)",Free,,,
26.53,c17,start_desk_A,[],[],"[c14, c15]","(c17, End=27.0)","(c16, End=28.6)",Free,0.00,,
26.97,c18,Arrive (Q_B),[],[c18],"[c14, c15]","(c17, End=27.0)","(c16, End=28.6)",Free,,,
27.03,c17,leave,[],[c18],"[c14, c15]",Free,"(c16, End=28.6)",Free,,c17,
27.54,c19,Arrive (Q_C),[],[c18],"[c14, c15, c19]",Free,"(c16, End=28.6)",Free,,,
28.30,c14,start_desk_C,[],[c18],"[c15, c19]",Free,"(c16, End=28.6)","(c14, End=29.5)",6.62,,
28.30,c13,leave,[],[c18],"[c15, c19]",Free,"(c16, End=28.6)",Free,,c13,
28.55,c18,start_desk_B,[],[],"[c15, c19]",Free,"(c18, End=32.5)",Free,1.58,,
28.55,c16,leave,[],[],"[c15, c19]",Free,Free,Free,,c16,
29.47,c15,start_desk_C,[],[],[c19],Free,Free,"(c15, End=31.2)",7.01,,
29.47,c14,leave,[],[],[c19],Free,Free,Free,,c14,
30.15,c20,Arrive (Q_C),[],[],"[c19, c20]",Free,Free,Free,,,
31.22,c19,start_desk_C,[],[],[c20],Free,Free,"(c19, End=35.2)",3.68,,
31.22,c15,leave,[],[],[c20],Free,Free,Free,,c15,
31.77,c21,Arrive (Q_B),[],[c21],[c20],Free,Free,Free,,,
32.48,c21,start_desk_B,[],[],[c20],Free,"(c21, End=35.7)",Free,0.71,,
32.48,c18,leave,[],[],[c20],Free,Free,Free,,c18,
32.78,c22,Arrive (Q_A),[c22],[],[c20],Free,Free,Free,,,
32.78,c22,start_desk_A,[],[],[c20],"(c22, End=35.7)",Free,Free,0.00,,
33.18,c23,Arrive (Q_C),[],[],"[c20, c23]","(c22, End=35.7)",Free,Free,,,
35.17,c20,start_desk_C,[],[],[c23],"(c22, End=35.7)",Free,"(c20, End=37.1)",5.02,,
35.17,c19,leave,[],[],[c23],"(c22, End=35.7)",Free,Free,,c19,
35.59,c24,Arrive (Q_A),[c24],[],[c23],"(c22, End=35.7)",Free,Free,,,
35.69,c21,leave,[c24],[],[c23],"(c22, End=35.7)",Free,Free,,c21,
35.71,c24,start_desk_A,[],[],[c23],"(c24, End=38.5)",Free,Free,0.12,,
35.71,c22,leave,[],[],[c23],Free,Free,Free,,c22,
36.04,c25,Arrive (Q_C),[],[],"[c23, c25]",Free,Free,Free,,,
37.08,c23,start_desk_C,[],[],[c25],Free,Free,"(c23, End=38.1)",3.90,,
37.08,c20,leave,[],[],[c25],Free,Free,Free,,c20,
37.20,c26,Arrive (Q_B),[],[c26],[c25],Free,Free,Free,,,
37.20,c26,start_desk_B,[],[],[c25],Free,"(c26, End=41.0)",Free,0.00,,
38.09,c25,start_desk_C,[],[],[],Free,"(c26, End=41.0)","(c25, End=39.2)",2.06,,
38.09,c23,leave,[],[],[],Free,"(c26, End=41.0)",Free,,c23,
38.47,c24,leave,[],[],[],Free,"(c26, End=41.0)",Free,,c24,
39.22,c25,leave,[],[],[],Free,"(c26, End=41.0)",Free,,c25,
39.84,c27,Arrive (Q_C),[],[],[c27],Free,"(c26, End=41.0)",Free,,,
39.84,c27,start_desk_C,[],[],[],Free,"(c26, End=41.0)","(c27, End=42.2)",0.00,,
40.99,c26,leave,[],[],[],Free,Free,"(c27, End=42.2)",,c26,
42.24,c27,leave,[],[],[],Free,Free,Free,,c27,
46.57,c28,Arrive (Q_C),[],[],[c28],Free,Free,Free,,,
46.57,c28,start_desk_C,[],[],[],Free,Free,"(c28, End=48.8)",0.00,,
47.30,c29,Arrive (Q_C),[],[],[c29],Free,Free,"(c28, End=48.8)",,,
47.39,c30,Arrive (Q_C),[],[],"[c29, c30]",Free,Free,"(c28, End=48.8)",,,
47.82,c31,Arrive (Q_C),[],[],"[c29, c30, c31]",Free,Free,"(c28, End=48.8)",,,
48.57,c32,Arrive (Q_B),[],[c32],"[c29, c30, c31]",Free,Free,"(c28, End=48.8)",,,
48.57,c32,start_desk_B,[],[],"[c29, c30, c31]",Free,"(c32, End=52.6)","(c28, End=48.8)",0.00,,
48.85,c29,start_desk_C,[],[],"[c30, c31]",Free,"(c32, End=52.6)","(c29, End=51.7)",1.55,,
48.85,c28,leave,[],[],"[c30, c31]",Free,"(c32, End=52.6)",Free,,c28,
51.47,c33,Arrive (Q_A),[c33],[],"[c30, c31]",Free,"(c32, End=52.6)",Free,,,
51.47,c33,start_desk_A,[],[],"[c30, c31]","(c33, End=51.8)","(c32, End=52.6)",Free,0.00,,
51.69,c30,start_desk_C,[],[],[c31],"(c33, End=51.8)","(c32, End=52.6)","(c30, End=54.2)",4.30,,
51.69,c29,leave,[],[],[c31],"(c33, End=51.8)","(c32, End=52.6)",Free,,c29,
51.84,c33,leave,[],[],[c31],Free,"(c32, End=52.6)",Free,,c33,
52.58,c32,leave,[],[],[c31],Free,Free,Free,,c32,
52.69,c34,Arrive (Q_A),[c34],[],[c31],Free,Free,Free,,,
52.69,c34,start_desk_A,[],[],[c31],"(c34, End=53.9)",Free,Free,0.00,,
53.87,c34,leave,[],[],[c31],Free,Free,Free,,c34,
54.17,c31,start_desk_C,[],[],[],Free,Free,"(c31, End=57.1)",6.35,,
54.17,c30,leave,[],[],[],Free,Free,Free,,c30,
55.98,c35,Arrive (Q_B),[],[c35],[],Free,Free,Free,,,
55.98,c35,start_desk_B,[],[],[],Free,"(c35, End=58.0)",Free,0.00,,
56.59,c36,Arrive (Q_A),[c36],[],[],Free,"(c35, End=58.0)",Free,,,
56.59,c36,start_desk_A,[],[],[],"(c36, End=58.8)","(c35, End=58.0)",Free,0.00,,
57.13,c31,leave,[],[],[],"(c36, End=58.8)","(c35, End=58.0)",Free,,c31,
57.52,c37,Arrive (Q_A),[c37],[],[],"(c36, End=58.8)","(c35, End=58.0)",Free,,,
58.02,c35,leave,[c37],[],[],"(c36, End=58.8)",Free,Free,,c35,
58.18,c38,Arrive (Q_A),"[c37, c38]",[],[],"(c36, End=58.8)",Free,Free,,,
58.78,c37,start_desk_A,[c38],[],[],"(c37, End=60.7)",Free,Free,1.26,,
58.78,c36,leave,[c38],[],[],Free,Free,Free,,c36,
59.31,c39,Arrive (Q_C),[c38],[],[c39],Free,Free,Free,,,
59.31,c39,start_desk_C,[c38],[],[],Free,Free,"(c39, End=62.4)",0.00,,
59.70,c40,Arrive (Q_C),[c38],[],[c40],Free,Free,"(c39, End=62.4)",,,
