now.Time,c,Transition,WaitA,WaitB,WaitC,DeskA,DeskB,DeskC,c.WaitTime,leave,Gone
0.00,c1,Arrive (Q_B),[],[c1],[],Free,Free,Free,,,
0.00,c1,start_desk_B,[],[],[],Free,"(c1, End=6.0)",Free,0.00,,
0.17,c2,Arrive (Q_C),[],[],[c2],Free,"(c1, End=6.0)",Free,,,
0.17,c2,start_desk_C,[],[],[],Free,"(c1, End=6.0)","(c2, End=3.8)",0.00,,
2.86,c3,Arrive (Q_A),[c3],[],[],Free,"(c1, End=6.0)","(c2, End=3.8)",,,
2.86,c3,start_desk_A,[],[],[],"(c3, End=11.2)","(c1, End=6.0)","(c2, End=3.8)",0.00,,
3.83,c2,leave,[],[],[],"(c3, End=11.2)","(c1, End=6.0)",Free,,c2,
5.96,c1,leave,[],[],[],"(c3, End=11.2)",Free,Free,,c1,
7.28,c4,Arrive (Q_B),[],[c4],[],"(c3, End=11.2)",Free,Free,,,
7.28,c4,start_desk_B,[],[],[],"(c3, End=11.2)","(c4, End=11.9)",Free,0.00,,
8.25,c5,Arrive (Q_C),[],[],[c5],"(c3, End=11.2)","(c4, End=11.9)",Free,,,
8.25,c5,start_desk_C,[],[],[],"(c3, End=11.2)","(c4, End=11.9)","(c5, End=9.7)",0.00,,
9.54,c6,Arrive (Q_C),[],[],[c6],"(c3, End=11.2)","(c4, End=11.9)","(c5, End=9.7)",,,
9.70,c6,start_desk_C,[],[],[],"(c3, End=11.2)","(c4, End=11.9)","(c6, End=12.9)",0.15,,
9.70,c5,leave,[],[],[],"(c3, End=11.2)","(c4, End=11.9)",Free,,c5,
10.20,c7,Arrive (Q_A),[c7],[],[],"(c3, End=11.2)","(c4, End=11.9)",Free,,,
11.15,c7,start_desk_A,[],[],[],"(c7, End=21.0)","(c4, End=11.9)",Free,0.95,,
11.15,c3,leave,[],[],[],Free,"(c4, End=11.9)",Free,,c3,
11.92,c4,leave,[],[],[],Free,Free,Free,,c4,
12.94,c6,leave,[],[],[],Free,Free,Free,,c6,
15.11,c8,Arrive (Q_B),[],[c8],[],Free,Free,Free,,,
15.11,c8,start_desk_B,[],[],[],Free,"(c8, End=18.9)",Free,0.00,,
15.17,c9,Arrive (Q_C),[],[],[c9],Free,"(c8, End=18.9)",Free,,,
15.17,c9,start_desk_C,[],[],[],Free,"(c8, End=18.9)","(c9, End=17.2)",0.00,,
16.06,c10,Arrive (Q_C),[],[],[c10],Free,"(c8, End=18.9)","(c9, End=17.2)",,,
17.15,c10,start_desk_C,[],[],[],Free,"(c8, End=18.9)","(c10, End=19.3)",1.09,,
17.15,c9,leave,[],[],[],Free,"(c8, End=18.9)",Free,,c9,
18.91,c8,leave,[],[],[],Free,Free,Free,,c8,
19.34,c10,leave,[],[],[],Free,Free,Free,,c10,
19.54,c11,Arrive (Q_B),[],[c11],[],Free,Free,Free,,,
19.54,c11,start_desk_B,[],[],[],Free,"(c11, End=23.0)",Free,0.00,,
20.44,c12,Arrive (Q_C),[],[],[c12],Free,"(c11, End=23.0)",Free,,,
20.44,c12,start_desk_C,[],[],[],Free,"(c11, End=23.0)","(c12, End=23.3)",0.00,,
20.95,c7,leave,[],[],[],Free,"(c11, End=23.0)","(c12, End=23.3)",,c7,
22.07,c13,Arrive (Q_C),[],[],[c13],Free,"(c11, End=23.0)","(c12, End=23.3)",,,
23.02,c11,leave,[],[],[c13],Free,Free,"(c12, End=23.3)",,c11,
23.23,c14,Arrive (Q_B),[],[c14],[c13],Free,Free,"(c12, End=23.3)",,,
23.23,c14,start_desk_B,[],[],[c13],Free,"(c14, End=28.2)","(c12, End=23.3)",0.00,,
23.29,c13,start_desk_C,[],[],[],Free,"(c14, End=28.2)","(c13, End=24.5)",1.22,,
23.29,c12,leave,[],[],[],Free,"(c14, End=28.2)",Free,,c12,
23.48,c15,Arrive (Q_B),[],[c15],[],Free,"(c14, End=28.2)",Free,,,
23.88,c16,Arrive (Q_A),[c16],[c15],[],Free,"(c14, End=28.2)",Free,,,
23.88,c16,start_desk_A,[],[c15],[],"(c16, End=25.6)","(c14, End=28.2)",Free,0.00,,
24.55,c13,leave,[],[c15],[],"(c16, End=25.6)","(c14, End=28.2)",Free,,c13,
24.83,c17,Arrive (Q_C),[],[c15],[c17],"(c16, End=25.6)","(c14, End=28.2)",Free,,,
24.83,c17,start_desk_C,[],[c15],[],"(c16, End=25.6)","(c14, End=28.2)","(c17, End=28.2)",0.00,,
25.65,c16,leave,[],[c15],[],Free,"(c14, End=28.2)","(c17, End=28.2)",,c16,
26.35,c18,Arrive (Q_C),[],[c15],[c18],Free,"(c14, End=28.2)","(c17, End=28.2)",,,
26.79,c19,Arrive (Q_C),[],[c15],"[c18, c19]",Free,"(c14, End=28.2)","(c17, End=28.2)",,,
28.17,c18,start_desk_C,[],[c15],[c19],Free,"(c14, End=28.2)","(c18, End=31.3)",1.82,,
28.17,c17,leave,[],[c15],[c19],Free,"(c14, End=28.2)",Free,,c17,
28.18,c15,start_desk_B,[],[],[c19],Free,"(c15, End=32.8)",Free,4.69,,
28.18,c14,leave,[],[],[c19],Free,Free,Free,,c14,
28.78,c20,Arrive (Q_B),[],[c20],[c19],Free,Free,Free,,,
30.39,c21,Arrive (Q_B),[],"[c20, c21]",[c19],Free,Free,Free,,,
31.34,c19,start_desk_C,[],"[c20, c21]",[],Free,Free,"(c19, End=33.0)",4.56,,
31.34,c18,leave,[],"[c20, c21]",[],Free,Free,Free,,c18,
32.84,c20,start_desk_B,[],[c21],[],Free,"(c20, End=38.8)",Free,4.06,,
32.84,c15,leave,[],[c21],[],Free,Free,Free,,c15,
32.90,c22,Arrive (Q_B),[],"[c21, c22]",[],Free,Free,Free,,,
32.99,c19,leave,[],"[c21, c22]",[],Free,Free,Free,,c19,
33.52,c23,Arrive (Q_A),[c23],"[c21, c22]",[],Free,Free,Free,,,
33.52,c23,start_desk_A,[],"[c21, c22]",[],"(c23, End=36.9)",Free,Free,0.00,,
33.56,c24,Arrive (Q_A),[c24],"[c21, c22]",[],"(c23, End=36.9)",Free,Free,,,
35.33,c25,Arrive (Q_A),"[c24, c25]","[c21, c22]",[],"(c23, End=36.9)",Free,Free,,,
35.39,c21,Resign (Q_C),"[c24, c25]",[c22],[],"(c23, End=36.9)",Free,Free,,,c21
36.59,c26,Arrive (Q_B),"[c24, c25]","[c22, c26]",[],"(c23, End=36.9)",Free,Free,,,
36.80,c27,Arrive (Q_C),"[c24, c25]","[c22, c26]",[c27],"(c23, End=36.9)",Free,Free,,,
36.80,c27,start_desk_C,"[c24, c25]","[c22, c26]",[],"(c23, End=36.9)",Free,"(c27, End=38.0)",0.00,,
